,Guiding questions  ,Phase 2 - Stress ,Phase 3 – Crisis ,Phase 4 – Emergency ,Phase 5 – Catastrophe / Famine ,,Data sources,,,,,,,,,,,,,,,,,,,,,,,
Income sources ,What proportion of the population lost their normal income sources since the beginning of the hazard? ,No or small share of population lost their normal income sources ,Less than half of the population lost their normal income sources ,More than half of population lost their normal income sources  ,Near complete loss of access to normal income sources  ,"Main income relies on casual labor (64%), which is seasonal and unstable. 44% of households are in debt. Many households have lost income sources: reliance on only a few income sources and many households are in debt. Category E: more than half of households have likely lost at least some income sources over the past year. ",Proportion of household income saved after covering all monthly expenses and purchases - Kachin_1,Household's average monthly income and total current debt - Kachin_1,Household sources of income over the last one year - Source 30 - Kachin_1,Household income over the 30 days prior to data collection - Kachin_1,Households common sources of household income over the 30 days prior to data collection - Kachin_1,Household by severity of source of income in the 30 days prior to data collection - Kachin_1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asset depletion through looting, displacement, fighting etc. ",What proportion of the assets have been lost due to the conflict? ,No or small loss of assets compared to pre-hazard ,Moderate loss of assets compared to pre-hazard ,Large loss of assets compared to pre-hazard ,Lost almost all assets compared to pre-hazard ,"Conflict has led to loss and depletion of key household assets. 63% of households lack agricultural land, partly due to displacement. Displacement and conflict events have also destroyed infrastructure (>150 drone airstrikes in Bhamo district). Most big markets have been destroyed. Three townships have experienced large-scale asset depletion, two townships less so. Some households were able to move with their assets, others were not. Large loss of assets (at household and iinfrastructure level), category E. ",,,,,,,,,,,,,,,,,,,,,,,,
Utilization  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water quantity (SPHERE) ,How much drinking water is available per person per day? ,More than 15L per person per day ,Less than 15L per person per day  ,Less than 7.5 L per person per day  ,Less than 3 L per person per day  ,"Specific liters per person/day are not provided, but evidence shows 98% of households report having enough drinking water sources. Category C, i.e. sufficient access to water.",Household had sufficient water for livestock - Kachin_1,Households who did NOT have enough water to drink in the 4 weeks prior to data collection - Kachin_1,Households reporting difficulties when storing food and water (source 1) - Kachin_1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water sources ,"Do households have access to potable water sources and if yes, to what extent? ",Large majority of households have access to safe water sources.  ,More than half of households have access to safe water sources. ,Less than half of households have access to safe water sources. ,Almost no-one has access to safe water sources. ,"85% report no difficulty in storing food and water (Yes, without any issue). Common water sources are boreholes, rainwater collection, springs. Category C = general access to safe water sources.",Household had sufficient water for livestock - Kachin_1,Households who did NOT have enough water to drink in the 4 weeks prior to data collection - Kachin_1,Households reporting difficulties when storing food and water (source 1) - Kachin_1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel stocks ,For how long are fuel stocks estimated to be available to cover basic needs? ,Fuel stocks are enough for several months to cover basic needs ,Fuel stocks are enough for more than a month to cover basic needs  ,Fuel stocks are enough for two weeks to one month to cover basic needs  ,Fuel stocks are enough for less than two weeks to cover basic needs  ,"Two fuel stations are located in Kachin 1. However, no large stocks available, households purchase a few litres at a time. Category E = only small stocks are available.  ",Myanmar Average fuel prices change 2024-2025,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epidemic borne disease (water and food borne epidemics) ,To what extent are epidemic borne diseases prevalent in the area and is the level of contagion above the historical average? ,Confirmed outbreak or high level of contagion at or below the historical mean ,Confirmed outbreak or high level of contagion above the historical mean straining response capacity and service provisions ,Confirmed outbreak or extreme levels of contagion above the historical mean highly exceeding response capacity and service provision ,Confirmed outbreak or massive contagion levels that obstruct service provision. ,No evidence of a disease outbreak or an epidemic. Category C.,,,,,,,,,,,,,,,,,,,,,,,,
Hazards/conflict dimension (impact on people and infrastructure) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of destroyed markets including (shops/etc.) ,What share of markets have been destroyed and made dysfunctional? ,No or very limited damage ,Some have been damaged  ,Most have been damaged  ,Almost all/all have been damaged ,Some main markets  have been destroyed = category D.,"Households facing physical or social barriers to accessing marketplaces, by barrier - Kachin_1",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of functional health facilities ,What percentage of health facilities have been destroyed and made dysfunctional? ,No health facilities have been rendered dysfunctional ,A small share is not fully functional  ,Majority is not fully functional  ,No/almost no health facilities are fully functional  ,31% of households reported not accessing medicine or treatment. 22% reported having no functional health facility. 14% can't afford health services. Most households only have access to primary care. Category E = majority is not fully functional (many health facilities exist but do not have full services). Many health facilitities are not working due to the confllct.,Percentage of households by self-reported barriers to accessing health care - Kachin_1,Health care facility access - Kachin_1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of people displaced ,What proportion of people have been displaced and forced to leave their habitual residence as a consequence of the conflict? ,No or a small proportion of the population moved ,Less than half of the population moved  ,Majority of the population moved  ,Almost all/all population moved ,D = less than half of the population moved (no specific statistics are available for Kachin 1 - displacement has increased since 2024. ,Number of People Internally Displaced Within Myanmar,Myanmar NUmber of People Displaced since Feb 2021,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humanitarian corridors ,How long have humanitarian corridors been blocked for? ,No blockade ,Blockade for less than two weeks ,Blockade for more than two weeks and less than a month ,Blockade for more than a month  ,"Category C = many humanitarian agencies do not work in Kachin 1 because of the security situation, but there are some agencies still present who are able to work and move within Kachin 1.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inflows of IDPs to the area ,To what extent has the inflow of IDPs increased over the period and compared to historical trends? ,Reduction in number of IDPs ,Small or no increase compared to historical trends ,Moderate increase compared to historical trends ,Very large increase compared to historical trends ,No movement of IDPs into Kachin 1. Category D = no increase. ,Myanmar IDP sites in Kachin State,Number of People Internally Displaced Within Myanmar,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
